date,Trứng,Đậu hũ
2025-12-18,1.0,1.0
2025-12-19,1.0,1.0
2025-12-20,0.9864621532619335,1.0
2025-12-22,0.9864621532619335,1.0
2025-12-23,0.9864621532619335,1.0
2025-12-24,0.9864621532619335,1.0
2025-12-25,0.9917795115769625,1.0
2025-12-26,0.9917795115769625,1.0
2025-12-27,0.9917795115769625,1.0
2025-12-28,0.9917795115769625,1.0
2025-12-29,0.9917795115769625,1.0
2025-12-30,0.9917795115769625,1.0
2025-12-31,0.9917795115769625,1.0
2026-01-02,0.995332779279846,1.0
2026-01-03,0.995332779279846,1.0
2026-01-05,0.995332779279846,1.0
2026-01-06,0.9761340520498979,0.9665681526678523
2026-01-07,0.9839898683313931,0.9665681526678523
2026-01-08,0.9839898683313931,0.9665681526678523
2026-01-09,0.9839898683313931,0.9665681526678523
2026-01-10,0.9839898683313931,0.9665681526678523
2026-01-11,0.9839898683313931,0.9665681526678523
2026-01-12,0.9839898683313931,0.9665681526678523
2026-01-13,0.9839898683313931,0.9665681526678523
2026-01-14,0.9839898683313931,0.9665681526678523
2026-01-15,0.9839898683313931,0.9665681526678523
2026-01-16,0.9839898683313931,0.9665681526678523
2026-01-17,0.9839898683313931,0.9665681526678523
2026-01-19,0.9839898683313931,0.9665681526678523
2026-01-20,0.9759255331699218,0.9665681526678523
2026-01-21,0.9759255331699218,1.0171470860070304
2026-01-22,0.9759255331699218,1.0171470860070304
2026-01-23,0.9759255331699218,1.0171470860070304
2026-01-24,0.9759255331699218,1.0171470860070304
2026-01-25,0.9759255331699218,1.0171470860070304
2026-01-26,0.9759255331699218,1.0171470860070304
2026-01-27,0.9759255331699218,1.0171470860070304
2026-01-28,0.9759255331699218,1.0171470860070304
2026-01-29,0.9759255331699218,1.0171470860070304
2026-01-30,0.9759255331699218,1.025798782079442
2026-01-30,0.9759255331699218,1.025798782079442
2026-01-31,0.9759255331699218,1.025798782079442
2026-02-01,0.9759255331699218,1.025798782079442
2026-02-02,0.9759255331699218,1.025798782079442
2026-02-03,0.9621617516838351,1.025798782079442
2026-02-04,0.982161608161713,1.025798782079442
2026-02-05,0.982161608161713,1.025798782079442
2026-02-06,0.982161608161713,1.025798782079442
2026-02-07,0.982161608161713,1.025798782079442
2026-02-08,0.982161608161713,1.025798782079442
2026-02-09,0.982161608161713,1.025798782079442
2026-02-10,0.982161608161713,1.025798782079442
2026-02-11,0.982161608161713,1.025798782079442
2026-02-12,0.982161608161713,1.025798782079442
2026-02-13,0.982161608161713,1.025798782079442
2026-02-14,0.982161608161713,1.025798782079442
2026-02-15,0.982161608161713,1.025798782079442
2026-02-16,0.982161608161713,1.025798782079442
2026-02-17,0.982161608161713,1.025798782079442
2026-02-18,0.982161608161713,1.025798782079442
