product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Nước Rửa Chén Sunlight Thiên Nhiên Lô Hội Túi 2kg,Gói,49000.0,73600.0,https://winmart.vn/products/sunlight-nrc-t.nhien-tui-21kg2kg--s10640562?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước Giặt OMO Matic Chuyên Gia Giữ Màu Cửa Trước 4.1KG,Gói,253400.0,,https://winmart.vn/products/omo-ng-ben-dep-cua-truoc-tui-4.1kg--s10161179?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước giặt Ariel Downy hương oải túi 3.9kg,Gói,265100.0,,https://winmart.vn/products/ariel-ng-downy-h.oai-huong-3.9kg4.1kg--s10171075?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
"Nước rửa chén cao cấp Good Care thiên nhiên can 3,6kg",Can,127600.0,,https://winmart.vn/products/good-care-nrc-cao-cap-thien-nhien-36kg--s10171070?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước giặt Comfort dưỡng vải thời thượng túi 3.6L,Gói,149000.0,191500.0,https://winmart.vn/products/comfort-ng-duong-vai-thoi-thuong-38kg--s10170634?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước xả vải Downy đam mê dạng túi 1.35L,Gói,122800.0,,https://winmart.vn/products/downy-nuoc-xa-dam-me-tui-1.35l--s10019399?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước giặt quần áo em bé D-nee Honey Star can 3L,Can,247500.0,,https://winmart.vn/products/d-nee-nuoc-giat-quan-ao-em-be-hong-3l--s10019414?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
"Nước giặt đậm đặc Essence dạng chai 1,9L",Chai,190400.0,,https://winmart.vn/products/essence-nuoc-giat-tim-19l--s10019433?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Dung dịch tẩy vết bẩn cổ áo Essence dạng chai 220ml,Chai,39300.0,,https://winmart.vn/products/essence-tay-co-ao-220ml--s10019436?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước giặt xả cho bé Carefor Plus hương hoa hồng chai 3.5 lít,Can,221000.0,,https://winmart.vn/products/carefor-nuoc-giat-xa-d.dac-hoa-hong-35l--s10019475?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Nước giặt xả đậm đặc tím Carefor can 3.5L,Can,222900.0,,https://winmart.vn/products/carefor-nuoc-giat-xa-d.dac-hoa-lan-35l--s10019476?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
Bột giặt nhiệt Aba dùng cho giặt máy gói 3kg,Gói,128400.0,,https://winmart.vn/products/aba-bot-giat-nhiet-matic-tui-29kg--s10019510?storeGroupCode=1998&storeCode=1535,"1/1/2026, 2:37:15 PM",fd2cda53-0b05-42b3-afde-b46409c51d6d
