product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Hạt Nêm Meizan Vị Heo 1kg,Gói,39900.0,66300.0,https://winmart.vn/products/meizan-hat-nem-thit-xotcr-heo-1kg--s10141530?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Dầu đậu nành Meizan 2L,Chai,79900.0,129000.0,https://winmart.vn/products/meizan-dau-dau-nanh-chai-2l--s10010076?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Dầu đậu nành Meizan 1L,Chai,43700.0,63900.0,https://winmart.vn/products/meizan-dau-dau-nanh-chai-1l--s10010075?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Tương cà Nam Dương chai 265g,Chai,8700.0,12800.0,https://winmart.vn/products/nam-duong-tuong-ca-265255gr--s10624156?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Tương ớt cay vừa Nam Dương 255g,Chai,8600.0,12000.0,https://winmart.vn/products/nam-duong-tuong-ot-cay-vua-255g--s10141980?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
NAM DƯƠNG Tương Cà 500g,Chai,15800.0,21600.0,https://winmart.vn/products/nam-duong-tuong-ca-500g--s10141529?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Nước tương tỏi ớt tươi Nam Dương chai 310g,Chai,12800.0,17600.0,https://winmart.vn/products/nam-duong-nuoc-tuong-toi-ot-310g--s10181130?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Nước tương lên men Nam Dương 500ml,Chai,17000.0,23400.0,https://winmart.vn/products/nam-duong-nuoc-tuong-len-men-500ml--s10181129?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Nước mắm cá cơm Thuận Phát 40 độ đạm chai 610ml,Chai,59900.0,82500.0,https://winmart.vn/products/thuan-phat-nuoc-mam-ca-com-40n-610ml--s10603569?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Nước tương đậm đặc Nam Dương chai 500ml,Chai,15900.0,21600.0,https://winmart.vn/products/nam-duong-nuoc-tuong-dam-dac-500ml--s10327429?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Nước mắm Cá Cơm Than Thuận Phát chai 490ml,Chai,24300.0,33000.0,https://winmart.vn/products/thuan-phat-nm-ca-com-than-490ml-t18--s10621537?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Dầu hào Maggi chai 530g,Chai,30900.0,40400.0,https://winmart.vn/products/maggi-dau-hao-chai-530g--s10008708?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Dầu Hào Nam Dương chai 270g,Chai,13000.0,17100.0,https://winmart.vn/products/nam-duong-dau-hao-270g--s10181131?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Dầu đậu nành Tường An chai 2L,Chai,109000.0,139000.0,https://winmart.vn/products/tuong-an-dau-dau-nanh-chai-2l--s10010116?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Nước xốt mè rang Kewpie chai 500ml,Chai,97100.0,125100.0,https://winmart.vn/products/kewpie-nuoc-xot-me-rang-chai-500ml--s10316242?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Dầu ăn Tường An chai 1 lít,Chai,46500.0,59000.0,https://winmart.vn/products/tuong-an-dau-cooking-1l--s10010151?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Sốt mayonnaise Simply hương gạo rang chai 230g,Chai,32400.0,39800.0,https://winmart.vn/products/simply-mayonnaise-huong-gaorang-230g--s10140939?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
Sốt muối kim chi Hàn Quốc Miwon 180g,Gói,28900.0,35700.0,https://winmart.vn/products/miwon-sot-muoi-kim-chi-han-quoc-180g-t40--s10141666?storeGroupCode=1998&storeCode=1535,"4/9/2026, 2:27:11 PM",7c39b709-c4b2-4c34-a003-29fccabbef59
