product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Yến Mạch Hạnh nhân Phô mai Oatta gói 300g,Gói,94900.0,129900.0,https://winmart.vn/products/oatta-yen-mach-hanh-nhan-pho-mai-300g--s10181145?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Yến mạch nguyên chất ăn liền nhập khẩu Úc Xuân An hộp 400g,Hộp,60500.0,83100.0,https://winmart.vn/products/xuan-an-yen-mach-nc-an-lien-nk-uc-400g--s10625513?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Yến Mạch nguyên chất Oganic Xuân An gói 400g,Gói,83600.0,113000.0,https://winmart.vn/products/xuan-an-yen-mach-nchat-oganic-400g--s10131094?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Gạo Ngọc Nương lúa tôm ST25 5Kg,Gói,154900.0,205000.0,https://winmart.vn/products/ngoc-nuong-gao-lua-tom-st25-5kg_vns--s10141515?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Gạo Ngọc Nương ST 25 đặc sản 3Kg,Gói,94900.0,123000.0,https://winmart.vn/products/ngoc-nuong-gao-st-25-dac-san-3kg-vns--s10141993?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Gạo tám Gò Công Vinafood1 túi 3kg,Gói,115900.0,147200.0,https://winmart.vn/products/vinafood1-gao-dac-san-tam-go-cong-3.5kg--s10086842?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Gạo ST25 Giống Cây Trồng TW túi 3kg,Gói,94900.0,119900.0,https://winmart.vn/products/vinaseed-gao-st25-tui-3kg--s10141040?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Lá kim cuốn cơm Gimbab & Roll Miwon gói 10g,Gói,26800.0,33300.0,https://winmart.vn/products/miwon-la-kim-cuon-com-10g--s10060831?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bột mì đa dụng Meizan gói 1kg,Gói,24900.0,30700.0,https://winmart.vn/products/meizan-bot-my-da-dung-1kg-mb--s10010027?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bột mì đa dụng Meizan gói 500g,Gói,13100.0,16100.0,https://winmart.vn/products/meizan-bot-my-da-dung-500g-mb--s10010026?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bột chiên giòn Meizan gói 150g,Gói,6700.0,8300.0,https://winmart.vn/products/meizan-meizan-bot-chien-gion-150g--s10323880?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Gạo ST25 Bảo Minh lúa ruộng rươi 3kg,Gói,122800.0,147600.0,https://winmart.vn/products/bao-minh-gao-st25-lua-ruong-ruoi-3kg--s10142024?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bơ Thực Vật Cao Cấp Meizan 80g,Hộp,9300.0,11100.0,https://winmart.vn/products/meizan-bo-thuc-vat-meizan-hop-80g--s10005754?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Tảo biển Wild Sonka túi 3 gói x 4g,Gói 3,37900.0,45000.0,https://winmart.vn/products/sonka-tao-bien-wild-sonka-tui-3-goix5g--s10010269?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Ngũ cốc dinh dưỡng Mueslix Orchard Beauty Kellogg's hộp 375g,Hộp,116700.0,139000.0,https://winmart.vn/products/kelloggs-n.coc-dd-muesli-355g--s10015539?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bột mỳ chuyên bánh bông lan Meizan gói 1 kg,Gói,30900.0,37000.0,https://winmart.vn/products/meizan-bot-my-chuyen-banh-bong-lan-1-kg--s10180849?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Rong Biển Giòn Trộn Gia Vị Miwon 30g,Gói,32000.0,37900.0,https://winmart.vn/products/miwon-rong-bien-gion-tron-gia-vi-30g40g--s10181045?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bột chiên giòn nêm sẵn gia vị Meizan gói 150g,Gói,8200.0,9800.0,https://winmart.vn/products/meizanbot-chien-gion-nem-san-gia-vi150g--s10327464?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Tôm khô An Vĩnh hộp 100g,Hộp,100000.0,118000.0,https://winmart.vn/products/an-vinh-tom-kho-hop-100g--s10081043?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
"Rong Biển Giòn Trộn Óc Chó, Hạnh Nhân 30g",Gói,34900.0,41200.0,https://winmart.vn/products/miwon-rb-gion-tron-oc-cho-h.nhan-30g40g--s10141364?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Cá ngừ Nautilus xắt khúc ngâm dầu thực vật,Lon,33500.0,39000.0,https://winmart.vn/products/seacrown-ca-ngu-c.khuc-ngamdaut.vat-140g--s10007734?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bơ Thực Vật Cao Cấp Meizan 200g,Hộp,19300.0,22200.0,https://winmart.vn/products/meizan-bo-thuc-vat-meizan-hop-200g--s10005755?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bơ thực vật Tường An hộp 200g,Hộp,18300.0,21000.0,https://winmart.vn/products/tuong-an-bo-thuc-vat-tuong-an-hop-200g--s10010121?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
Bột bánh rán pha sẵn Ajinomoto vị socola 200g,Gói,17800.0,20400.0,https://winmart.vn/products/ajinomoto-bot-bran-phasan-viscl200g--s10322785?storeGroupCode=1998&storeCode=1535,"3/23/2026, 3:09:28 PM",c163e4e2-3adb-4219-bdee-9985998f1f45
