product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
Táo Ambrosia Canada,1KG,89900.0,129900.0,https://winmart.vn/products/wmnk-tao-ambrosia-canada--s10240527?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Xoài dài giống Đài Loan,1KG,37900.0,49000.0,https://winmart.vn/products/xoai-dai-giong-dai-loan--s10054792?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Bắp cải tím WinEco,1KG,43920.0,54900.0,https://winmart.vn/products/wineco-bap-cai-tim-l1--s10054670?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Dưa lưới sạch Đế Vương King size ruột cam,Qủa,79200.0,99000.0,https://winmart.vn/products/dua-luoi-sach-de-vuong-king-size-r.cam--s10242407?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Cải bó xôi WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-bo-xoi-300gr--s10281825?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Cải cúc WinEco gói 300g,Gói,8000.0,10000.0,https://winmart.vn/products/wineco-cai-cuc-l1-300gr--s10281828?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Giá đỗ WinEco 300g,Gói,10000.0,12500.0,https://winmart.vn/products/wineco-gia-do-l1-300gr--s10281835?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Rau mầm cải ngọt WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-ngot-l1-100gr--s10281839?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Rau mầm cải xanh WinEco 100g,Hộp,14800.0,18500.0,https://winmart.vn/products/wineco-rau-mam-cai-xanh-l1-100gr--s10281840?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Cần tây nhỏ WinEco 100g,Gói,5520.0,6900.0,https://winmart.vn/products/wineco-can-tay-nho-l1-100gr--s10281873?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Xà lách lolo xanh WinEco 300g,Gói,10000.0,12500.0,https://winmart.vn/products/wineco-xa-lach-lolo-xanh-l1-300g--s10281893?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Hẹ lá WinEco 100g,Gói,6400.0,8000.0,https://winmart.vn/products/wineco-he-la-l1-100gr--s10281880?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Hành lá WinEco gói 100g,Gói,4000.0,5000.0,https://winmart.vn/products/wineco-hanh-la-l1-100gr--s10281879?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Xà lách mỡ WinEco 300g,Gói,19600.0,24500.0,https://winmart.vn/products/wineco-xa-lach-mo-l1-300g--s10283379?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Xà lách iceberg WinEco 300g,Gói,17520.0,21900.0,https://winmart.vn/products/wineco-xa-lach-iceberg-300gr--s10283381?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Dưa hấu Hắc Mỹ Nhân (Long An),2.5 KG,62250.0,74750.0,https://winmart.vn/products/dua-hau-hac-my-nhan--s10055026?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Táo Rockit hộp 3 - 4 trái,Hộp,125000.0,139000.0,https://winmart.vn/products/tao-rockit-new-zealand-hop-4-trai--s10071566?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Táo Fuji Mỹ,1KG,89900.0,99900.0,https://winmart.vn/products/wmnk-tao-fuji-my--s10241411?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Súp lơ (Bông cải) xanh,1KG,29900.0,,https://winmart.vn/products/sup-lo-bong-cai-xanh--s10053922?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Củ đậu,1KG,19900.0,,https://winmart.vn/products/cu-dau--s10053939?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Củ cải trắng,1KG,15900.0,,https://winmart.vn/products/cu-cai-trang--s10053938?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Su su,1KG,12900.0,,https://winmart.vn/products/su-su--s10053949?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Khoai tây,1KG,19900.0,,https://winmart.vn/products/khoai-tay--s10053947?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Bí đỏ tròn,1kg,24900.0,,https://winmart.vn/products/bi-do-tron--s10053953?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Cà tím tròn,Kg,24900.0,,https://winmart.vn/products/ca-tim-tron--s10053958?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Bí xanh,1KG,19900.0,,https://winmart.vn/products/bi-xanh--s10053954?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Khoai lang giống nhật,1KG,42900.0,,https://winmart.vn/products/khoai-lang-giong-nhat-xa--s10053980?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Cam lòng vàng,1KG,29900.0,,https://winmart.vn/products/cam-long-vang--s10053983?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Quả bầu,1KG,22900.0,,https://winmart.vn/products/qua-bau--s10053988?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Nấm kim châm 150g,Gói,14900.0,,https://winmart.vn/products/nam-kim-cham-150g--s10053991?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Búp măng tươi Kim Bôi gói 500g,Gói,34900.0,,https://winmart.vn/products/kim-boi-bup-mang-tuoi-500g--s10053998?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Măng củ thái sẵn Kim Bôi gói 500g,Gói,34900.0,,https://winmart.vn/products/kim-boi-mang-cu-thai-san-500g--s10053999?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Măng chua thái sẵn Kim Bôi gói 300g,Gói,32500.0,,https://winmart.vn/products/kim-boi-mang-chua-thai-san-300g--s10054000?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Măng nứa tươi Kim Bôi túi 500g,Gói,33500.0,,https://winmart.vn/products/kim-boi-mang-nua-tuoi-500g--s10054001?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Măng lưỡi lợn khô nấu ngay Kim Bôi 500g,Gói,55000.0,,https://winmart.vn/products/kim-boi-mang-luoi-lon-kho-nau-ngay-500g--s10054002?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Măng nứa khô nấu ngay Kim Bôi gói 500g,Gói,69900.0,,https://winmart.vn/products/kim-boi-mang-nua-kho-nau-ngay-500g--s10054004?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
Măng ống khô nấu ngay Kim Bôi gói 500g,Gói,53900.0,,https://winmart.vn/products/kim-boi-mang-ong-kho-nau-ngay-500g--s10054003?storeGroupCode=1998&storeCode=1535,"3/5/2026, 2:58:21 PM",090dfb09-08b4-437d-82ba-0dcab113c1f6
